ax	ay	az	gx	gy	gz
-10664	-9720	5292	-617	1207	660
-10916	-9716	5204	-309	611	592
-11092	-9868	5448	-190	981	694
-11420	-9704	5104	-250	1655	477
-11256	-9656	5100	-317	1737	315
-11476	-9776	4516	-536	1568	379
-11704	-9716	3996	-678	1869	248
-11900	-9676	3844	-412	1241	150
-11640	-9576	3804	-234	277	80
-12192	-9684	3596	-408	423	221
-11988	-9628	3540	-474	1264	145
-12056	-9660	3680	-212	827	13
-11988	-9596	3432	-284	1021	-7
-11712	-9504	3292	-627	308	207
-12336	-9576	2704	-440	298	406
-12188	-9572	3140	-51	113	300
-12192	-9528	3104	-311	207	378
-12184	-9500	3028	-517	759	155
-12372	-9660	2776	-343	1232	282
-12332	-9508	2756	-395	761	334
-12736	-9348	2536	-160	193	-20
-12272	-9764	2752	-599	379	175
-12340	-9620	2208	-674	547	892
-12488	-9376	2336	-761	428	960
-12532	-9424	2320	-1343	602	858
-12780	-8856	1096	-952	1251	1204
-12828	-8668	1716	-268	304	881
-13428	-8540	1236	-453	1558	1207
-13300	-8564	956	-205	1195	579
-13656	-8188	712	-455	1192	677
-13584	-8048	568	-254	1519	273
-13192	-8216	324	-300	1271	49
-13684	-8308	412	-492	242	160
-13488	-8108	-216	-652	706	164
-13704	-8328	-372	-521	761	-77
-13460	-8596	-424	-461	300	-442
-13708	-8676	-508	-320	397	-122
-13136	-8600	-120	-511	312	-311
-13364	-8760	-312	-920	282	329
-13216	-8580	-912	-852	607	562
-13592	-8516	-1248	-508	-8	174
-13788	-8684	-888	-487	592	-87
-13368	-8496	-848	-693	913	-70
-13256	-8268	-1648	-384	922	236
-13404	-8420	-1752	-326	62	379
-13700	-8220	-1628	-279	330	296
-13444	-8224	-1760	-188	200	-83
-13368	-8680	-1504	-273	101	240
-13684	-8428	-1140	-282	65	660
-13712	-7972	-1244	164	101	345
-13000	-8516	-1752	421	-1114	226
-17696	-9044	-5052	-354	235	1134
-14948	-8920	-3840	-436	-80	796
-16712	-9704	-1984	1459	3340	-227
-14020	-9636	1832	1619	-176	-374
-10488	-8484	236	896	-2148	-53
-11476	-6556	2260	4336	-12842	-5352
-11092	-10000	5004	4940	-24994	-3539
-10100	-8756	9008	1482	-13447	-7145
-8836	-11584	9480	-343	-7170	-11785
-3928	-10912	6000	129	-5304	-14032
1096	-9000	5580	3709	-9105	-14518
5860	-8684	6852	8337	-14704	-16794
14704	-6092	11092	7552	-14137	-14874
17220	-6236	12424	6045	-5047	-5244
27008	-1380	17728	-1750	3550	2222
9340	-4656	10308	-382	3207	-249
11984	-5960	9624	-3386	2306	427
13100	-4152	11396	-1705	-1911	-212
12440	-5644	9264	-1360	-3	322
11520	-5312	9200	-506	-270	72
11744	-5860	9732	-750	80	298
11972	-5464	9768	-222	120	283
11644	-5736	9440	-422	-77	79
11956	-5440	10264	-549	-27	257
12204	-5436	9348	-554	-381	400
8340	-7616	11420	-1300	-263	-248
12464	-6376	10640	-1440	-141	1138
12444	-5752	10416	-1030	-601	-95
10720	-6512	10188	-1094	839	131
11360	-5876	9684	295	526	-150
12488	-5988	9528	-231	-7	410
11728	-6820	9180	-657	-192	36
12156	-5528	9416	-552	419	65
11716	-6204	9424	-29	-103	-96
11964	-6280	9472	-433	71	139
12116	-6572	9188	107	301	-112
10616	-5796	8860	455	1127	-278
11948	-6044	8828	-729	-452	381
12244	-6144	8880	166	887	846
12548	-5856	9280	40	-161	157
11496	-6508	9032	-754	-550	7
11616	-6372	9580	-442	-242	50
12012	-5976	9024	-29	313	-174
11860	-6084	9368	-414	124	-7
11752	-6472	9532	-440	-131	67
11736	-5616	9424	-327	15	141
11724	-6304	9484	-412	58	74
11808	-6312	9700	312	-32	-353
11736	-5784	9280	639	605	-220
12084	-5600	9152	-542	-744	-266
12544	-5336	9416	-308	-713	-150
12356	-6196	9216	-493	-239	175
11908	-5988	9512	-959	-497	-512
12492	-5076	8436	-718	636	528
12408	-6700	9044	-1200	-396	-99
12328	-6272	9000	-405	182	499
11404	-6284	7944	103	-203	-14
12320	-6208	9248	-482	328	246
12332	-5696	9356	-512	287	263
11852	-6040	9592	11	248	-88
12036	-5660	9336	171	360	-33
12008	-5552	9024	543	502	46
12000	-7028	8544	776	76	113
11604	-6164	9116	587	612	413
12368	-5176	9384	225	118	367
11112	-6188	9608	49	1095	112
11736	-5716	10000	103	1486	58
10864	-5396	9996	563	1784	349
11548	-4964	10480	569	1119	291
10440	-4048	13160	1522	3037	348
9680	-6400	12072	-911	-7459	1945
12364	-7264	7484	-1122	-12608	135
11116	-5484	6816	-997	-5181	-2011
12636	-6480	7708	1695	4651	-159
13636	-4692	8288	595	3658	1376
10088	-4248	12424	118	-1009	1370
13260	-5640	8376	-120	-2134	1224
11852	-5436	6616	-21	-1736	640
11932	-5160	10348	-468	3386	-1658
15480	-4972	12628	342	15554	601
11772	-7004	15888	-5613	16349	7261
6156	-10068	14116	-9560	16622	10230
1872	-9452	10364	-10286	15147	9997
-2316	-9876	7572	-9026	13604	8136
-6160	-10484	5572	-7323	12666	7473
-6960	-10272	4508	-5702	6109	6693
-10328	-11004	2656	-3590	3307	5472
-13064	-11452	2588	-2828	3379	2754
-12084	-10552	688	-3675	3118	2346
-9784	-9904	1044	-3110	1607	1746
-11380	-9060	536	-959	1374	213
-13456	-10596	-272	-1216	1004	1112
-11868	-10296	832	-1185	1887	1473
-12236	-9836	-316	-1627	1845	2160
-12248	-8472	-848	-1215	992	1959
-13208	-8752	-1420	-909	913	932
-13080	-9032	-1232	-552	359	551
-13500	-8816	-1492	-414	823	581
-13056	-8236	-1440	-39	-191	-480
-12756	-8624	-1440	-497	-287	-23
-12860	-8848	-1108	264	408	-571
-13980	-8872	-1612	517	-312	-1070
-14960	-9824	-3072	632	-974	-1314
-11108	-7400	-1404	3784	-3888	-2821
-12352	-7864	-696	9500	-20376	-6000
-10480	-5656	4016	10807	-32768	-17069
9100	-6068	9288	5238	-23863	-16175
8328	-11464	12036	199	-4759	-9910
8736	-12220	11784	1899	-6939	-8878
9832	-9140	11812	4034	-4141	-8162
12512	-4996	11980	2531	-1201	-6121
16924	-3008	14092	-661	-3678	-1325
9040	-5060	8636	-2453	5259	-283
13096	-5320	13048	-1423	-3528	-1471
10076	-5232	10556	-1053	-1838	107
11176	-5380	10296	-1083	-631	-184
12072	-5564	9820	-1846	95	502
11360	-5872	9988	-1957	-1435	-348
12200	-7424	8960	-1520	-155	510
11336	-6428	9884	-934	-285	319
11416	-6112	9888	-163	487	107
12324	-5888	9536	-270	-229	-84
11888	-5932	9772	-364	-603	164
11204	-5908	10004	-533	510	-28
11056	-6352	9020	-346	1073	-40
11708	-6456	9592	346	540	480
10240	-5460	11768	-796	-1011	-225
11112	-6416	10004	141	434	79
10656	-6572	9720	-468	-7	128
11656	-6244	10128	-487	-653	2
11368	-6436	10136	-224	-812	406
8600	-5704	11816	431	1292	-672
13940	-5084	7708	370	829	-760
11536	-6244	9276	-1011	571	142
10472	-5912	11116	-1567	217	382
10912	-6024	11600	-798	-2160	-337
11340	-5248	9752	-745	-906	10
12612	-7644	9456	-625	-811	1171
12608	-5684	9812	-663	-282	969
10416	-6348	10392	-764	-267	-262
9792	-5416	10148	673	1939	-673
14704	-6828	6996	912	-878	-572
10912	-6108	8588	84	-817	-115
13148	-6612	10880	-810	-1103	862
12184	-6016	9944	-454	-568	204
11564	-6200	9672	-506	-274	103
11988	-6060	9632	-346	-95	25
11864	-5956	9472	-11	18	17

